site,mrccode,schooldistrictlocation,schooldistrictcode,schoollevel,schoollevelcode,schoolid,schoolcode,schoolname,
Atiak,23,Amuru,108,Primary,2,0012,21080012,Raa Primary School,
Atiak,23,Amuru,108,Primary,2,0013,21080013,Sewing Hope Primary School,
Awach,25,Gulu,132,Primary,2,0001,21320001,Awach Primary School,
Awach,25,Gulu,132,Primary,2,0002,21320002,Awach Ideal Primary School,
Awach,25,Gulu,132,Primary,2,0003,21320003,Layibi Primary School,
Awach,25,Gulu,132,Primary,2,0004,21320004,Barayom Primary School,
Awach,25,Gulu,132,Primary,2,0005,21320005,Laroo Adra Primary School,
Awach,25,Gulu,132,Primary,2,0006,21320006,Ogoro Primary School,
Awach,25,Gulu,132,Primary,2,0007,21320007,Omoti Hill Primary School,
Awach,25,Gulu,132,Primary,2,0008,21320008,Opit Modern Primary School,
Awach,25,Gulu,132,Primary,2,0009,21320009,Princes Primary School,
Awach,25,Gulu,132,Primary,2,0010,21320010,Queen of Matter Primary School,
Awach,25,Gulu,132,Primary,2,0011,21320011,St Raphael Primary School,
Awach,25,Gulu,132,Primary,2,0012,21320012,Awach Central Primary School,
Lalogi,27,Omoro,203,Primary,2,0001,22030001,Aketket Primary School,
Lalogi,27,Omoro,203,Primary,2,0002,22030002,Lalogi Faith Primary School,
Lalogi,27,Omoro,203,Primary,2,0003,22030003,Pope Francis Primary School,
Lalogi,27,Omoro,203,Primary,2,0004,22030004,The Living Trust Primary School,
Lalogi,27,Omoro,203,Primary,2,0005,22030005,Ajuri Primary School,
Lalogi,27,Omoro,203,Primary,2,0006,22030006,Akalo Comprehensive Primary School,
Lalogi,27,Omoro,203,Primary,2,0007,22030007,Minja Primary School,
Lalogi,27,Omoro,203,Primary,2,0008,22030008,Rackoko ABC Primary School,
lokolia,43,Kaabong,138,Primary,2,0001,21380001,LokoliaPrimary School,
Opia,15,Arua,110,Primary,2,0001,21100001,Oyoo Primary School,
Opia,15,Arua,110,Primary,2,0002,21100002,Opia Primary School,
Opia,15,Arua,110,Primary,2,0003,21100003,Doli Primary School,
Opia,15,Arua,110,Primary,2,0004,21100004,Adravu Primary School,
Opia,15,Arua,110,Primary,2,0005,21100005,Kuluba Primary School,
Opia,15,Arua,110,Primary,2,0006,21100006,Ragem Primary School,
Opia,15,Arua,110,Primary,2,0007,21100007,St Marys Primary School,
Ayipe,18,Koboko,162,Primary,2,0001,21620001,Ayipe Primary School,
Ayipe,18,Koboko,162,Primary,2,0002,21620002,Lunguma Primary School,
Metu,19,Moyo,187,Primary,2,0001,21870001,Lukwa Primary School,
Metu,19,Moyo,187,Primary,2,0002,21870002,Nyojo Primary School,
Metu,19,Moyo,187,Primary,2,0003,21870003,St Kizito Primary School,
Metu,19,Moyo,187,Primary,2,0004,21870004,Moyo army Primary School,
Metu,19,Moyo,187,Primary,2,0005,21870005,Amua Primary School,
Metu,19,Moyo,187,Primary,2,0006,21870006,Eremi Primary School,
Metu,19,Moyo,187,Primary,2,0007,21870007,Kweyo Primary School,
Metu,19,Moyo,187,Primary,2,0008,21870008,Asili Primary School,
Metu,19,Moyo,187,Primary,2,0009,21870009,Bari Primary School,
Metu,19,Moyo,187,Primary,2,0010,21870010,Dreams of Hope Primary School,
Metu,19,Moyo,187,Primary,2,0011,21870011,Kindergarden Primary School,
Metu,19,Moyo,187,Primary,2,0012,21870012,Lecu Primary School,
Metu,19,Moyo,187,Primary,2,0013,21870013,Lefori Primary School,
Metu,19,Moyo,187,Primary,2,0014,21870014,St Andrews Primary School,
Otwal,36,Oyam,205,Primary,2,0001,22050001,Otwal Primary School,
Otwal,36,Oyam,205,Primary,2,0002,22050002,Barlwala Primary School,
Otwal,36,Oyam,205,Primary,2,0003,22050003,Maama Despina Primary School,
Otwal,36,Oyam,205,Primary,2,0004,22050004,Meta Primary School,
Otwal,36,Oyam,205,Primary,2,0005,22050005,St Gabriel Primary School,
Otwal,36,Oyam,205,Primary,2,0006,22050006,Adili Primary School,
Otwal,36,Oyam,205,Primary,2,0007,22050007,Anyomolyec Primary School,
Otwal,36,Oyam,205,Primary,2,0008,22050008,Aron Primary School,
Otwal,36,Oyam,205,Primary,2,0009,22050009,Barapwo Primary School,
Otwal,36,Oyam,205,Primary,2,0010,22050010,Atwol Primary School,
Otwal,36,Oyam,205,Primary,2,0011,22050011,Lira Primary School,
Otwal,36,Oyam,205,Primary,2,0012,22050012,Lakeside Primary School,
Otwal,36,Oyam,205,Primary,2,0013,22050013,St Ivan Primary School,
Aboke,37,Kole,163,Primary,2,0001,21630001,Wigwa Primary School,
